"ID"	"SMD"	"CI_lower"	"CI_upper"	"pvalue"	"zvalue"	"I2"	"tau2"	"logLik"	"deviance"	"AIC"	"BIC"	"AICc"	"sum_sample_size_c"	"sum_sample_size_t"	"sum_indiv_size_c"	"sum_indiv_size_t"
"table11"	-0.22	-2.82	2.37	0.865	-0.17	89.4	3.17	-3.598	7.271	11.195	8.581	23.195	23	23	13	14
"table12"	-0.88	-1.23	-0.53	0	-4.968	0	0	-2.692	3.591	9.383	8.967	13.383	71	73	71	73
"table15"	-1.11	-1.92	-0.3	0.007	-2.688	84.17	0.29	-1.259	4.702	6.519	3.905	18.519	34	34	17	17
"table17"	-1.24	-1.97	-0.51	0.001	-3.336	77.94	0.22	-1.055	4.078	6.109	3.496	18.109	30	32	15	16
"table20"	-1.18	-3.7	1.34	0.359	-0.917	84.37	2.8	-3.535	4.882	11.07	8.456	23.07	15	11	15	11
"table27"	-0.91	-1.3	-0.51	0	-4.472	5.39	0.01	-2.179	3.348	8.358	7.131	20.358	36	36	31	30
"table28"	-0.4	-0.62	-0.18	0	-3.589	0	0	0.744	0.082	2.512	-0.102	14.512	157	157	13	13
"table3"	-1.13	-1.85	-0.41	0.002	-3.079	0	0	-1.09	0.915	6.179	3.566	18.179	17	20	17	20
"table31"	-1.33	-2.34	-0.32	0.01	-2.588	47.92	0.27	-1.733	2.503	7.467	4.853	19.467	15	17	10	11
"table33"	-0.88	-1.22	-0.53	0	-5	31.02	0.06	-3.591	7.678	11.182	10.765	15.182	72	74	54	55
"table7"	-0.2	-0.59	0.2	0.326	-0.983	0	0	-1.923	2.4	7.845	7.064	13.845	51	51	51	51
"table70"	-0.56	-1.76	0.64	0.361	-0.913	77.68	0.86	-4.296	7.363	12.592	10.79	24.592	38	32	38	32
