"ID"	"Std_Eff"	"coefficient"	"std_error"	"zvalue"	"pvalue"	"CI_low"	"CI_high"
"table23"	NA	NA	NA	NA	NA	NA	NA
"table25"	"intercept"	-0.185266371347275	0.211360102689626	-0.876543723198943	0.380734517846225	-0.599524560387629	0.228991817693078
"table25"	"slope_bias"	0.812922677068834	1.35819438079411	0.598531910133166	0.549485073517744	-1.84908939329231	3.47493474742998
"table27"	NA	NA	NA	NA	NA	NA	NA
"table33"	"intercept"	-0.674019853010836	0.172086976989694	-3.916739458159	8.97546598188248e-05	-1.01130413011901	-0.336735575902662
"table33"	"slope_bias"	-0.299328549453975	0.820865448445239	-0.364649955752089	0.715372719417807	-1.90819526455997	1.30953816565201
"table35"	"intercept"	0.582198960605946	0.235245473155258	2.47485723230774	0.0133289446019487	0.121126305695557	1.04327161551634
"table35"	"slope_bias"	-3.5378991896109	1.08340145982499	-3.2655477408923	0.00109252587204696	-5.661327031666	-1.41447134755581
"table36"	"intercept"	0.000386111732175155	0.182931474947398	0.00211069053199392	0.998315913862327	-0.358152990803516	0.358925214267866
"table36"	"slope_bias"	0.0385956511597277	0.936445927236682	0.0412150344586558	0.967124468092174	-1.79680463969338	1.87399594201284
"table37"	NA	NA	NA	NA	NA	NA	NA
"table38"	"intercept"	0.813306045284565	0.308306348016557	2.63798021194454	0.00834014483793327	0.209036706967041	1.41757538360209
"table38"	"slope_bias"	-1.80227624756515	1.09685793753358	-1.64312641217494	0.100356781197294	-3.95207830128785	0.347525806157539
"table40"	NA	NA	NA	NA	NA	NA	NA
"table42"	NA	NA	NA	NA	NA	NA	NA
"table43"	NA	NA	NA	NA	NA	NA	NA
"table44"	NA	NA	NA	NA	NA	NA	NA
"table45"	NA	NA	NA	NA	NA	NA	NA
"table56"	NA	NA	NA	NA	NA	NA	NA
"table57"	NA	NA	NA	NA	NA	NA	NA
"table58"	NA	NA	NA	NA	NA	NA	NA
"table59"	NA	NA	NA	NA	NA	NA	NA
"table60"	NA	NA	NA	NA	NA	NA	NA
"table7"	"intercept"	0.896834039657727	1.50648385099501	0.595316065993924	0.551632218688425	-2.0558200515837	3.84948813089916
"table7"	"slope_bias"	-2.81558834017532	2.94955540548483	-0.954580590328839	0.339789836565305	-8.59661070533102	2.96543402498037
